Model,Normalized Float,Tone Float,Tech Float,Preference Float
Fearless Lancelot,5.0,5.0,6.0,
Fearless Provence,3.5,4.667,3.333,3.0
Fearless Roland,3.0,2.5,4.0,
Fearless S10 Genie,3.5,3.0,4.5,
Fearless S4,4.0,4.167,4.167,3.5
Fearless S5H,4.5,4.5,4.5,
Fearless S5T,2.5,2.5,2.5,
Fearless S6Pro,5.5,5.5,5.5,
Fearless S6Rui,4.5,4.5,5.0,
Fearless S8F/S8Pro,5.0,5.0,5.5,
Fearless S8Z,4.875,5.418,5.208,4.5
Fearless Shangri-La,2.5,3.0,3.5,3.0
Fearless Shangri-la,4.0,5.5,3.5,
Fearless Start,3.5,3.5,3.5,
Fearless Tequila,3.333,3.0,3.667,3.5
Fearless X Crinacle Dawn,7.5,,,7.0
Fearless x Crinacle Dawn,6.1,6.67,5.67,6.0
Fender FXA9,2.0,1.5,3.5,
Fender Ten 5,3.5,4.5,3.0,
Fender Thirteen 6,0.5,0.5,2.0,
FiR Krypton 5,2.5,2.5,3.5,
FiR M2,3.0,2.0,4.5,
FiR M3,5.5,5.5,5.5,
FiR M4,5.5,5.5,5.5,
FiR M5,5.5,5.5,5.5,
FiR Neon 4,3.0,2.5,4.0,
FiR VxV,4.5,4.0,5.5,
FiR VxV (Five x Five),3.5,2.5,4.5,4.0
FiR Xenon 6,2.5,2.0,3.5,
Fidue A71,2.0,2.5,2.0,
"Fidue A91 ""Sirius""",4.5,4.5,5.0,
FiiO F3,3.5,4.5,3.5,
FiiO F5,3.5,4.5,3.5,
FiiO F9,4.0,4.0,4.0,
FiiO F9 Pro,4.0,4.0,4.0,
FiiO FA1,3.5,4.5,3.5,
FiiO FA7,3.0,3.0,4.0,
FiiO FA7S,3.5,3.5,4.5,
FiiO FA9,4.5,4.5,4.5,
FiiO FD1,3.5,3.5,3.5,
FiiO FD5,4.5,4.5,5.0,
FiiO FD7,5.0,5.0,5.0,
FiiO FH1,3.5,4.0,3.5,
FiiO FH1S,3.5,3.5,3.5,
FiiO FH3,4.0,4.0,4.5,
FiiO FH5,5.0,5.0,5.0,
FiiO FH5s,3.5,3.5,4.5,
FiiO FH7,4.0,4.0,5.0,
FiiO FH9,5.0,5.0,5.0,
Fiio FA7,0.0,0.0,0.1,0.1
Fiio FD3,3.0,3.0,3.0,3.0
Fiio FD5,4.4,4.33,5.0,4.0
Fiio FH3,3.0,3.0,3.0,3.0
Fiio FH5,5.0,5.0,5.0,5.0
Fiio FH5S,3.0,3.0,3.0,3.0
Fiio FH7,5.0,5.0,5.0,5.0
Fiio FH7S,5.3,5.33,5.0,5.5
Fiio FH9,5.0,5.0,5.0,5.0
Fiio x Crinacle FHE Eclipse,3.7,4.0,3.0,4.0
Fiio x Crinacle FHE: Eclipse,3.0,4.5,4.0,3.5
Final Audio A4000,3.3,3.0,4.0,3.0
Final Audio A8000,4.4,4.25,6.042,3.25
Final Audio Adagio 3,0.5,0.5,2.0,
Final Audio B1,3.5,3.5,4.0,
Final Audio B2,4.0,4.0,4.0,
Final Audio B3,4.667,5.0,4.667,5.0
Final Audio E1000,3.0,4.0,2.667,1.5
Final Audio E2000,3.167,4.0,3.0,3.0
Final Audio E3000,3.0,3.833,3.0,2.5
Final Audio E4000,3.5,4.5,3.5,
Final Audio E500,4.067,4.89,3.667,4.0
Final Audio E5000,3.5,4.5,3.5,
Final Audio EVA,2.7,3.0,2.0,3.0
Final Audio F4100,3.5,3.5,4.0,
Final Audio F7200,3.5,3.5,4.0,
Final Audio FI-DO6SS ANT20,3.0,3.0,4.0,
Final Audio Heaven 4,4.0,4.0,4.0,
Final Audio Heaven 7,3.5,3.5,4.0,
Final Audio Heaven 8,3.0,3.0,4.0,
Final Audio Heaven II,4.0,4.5,4.0,
Final Audio Heaven S,3.5,3.5,4.0,
Final Audio LAB 1,3.5,3.5,4.0,
Final Audio LAB 2,0.5,0.5,3.5,
Final x Dita Shichiku.Kangen,5.2,4.67,6.0,5.0
Fischer Omega Spark,0.5,0.5,0.5,
FitEar Air 2,3.5,3.5,3.5,
FitEar Air 2/Titan,3.5,3.5,3.5,
FitEar Aya,3.5,3.5,4.0,
FitEar EST,3.0,4.0,3.0,
FitEar F/A111,3.5,3.5,4.0,
FitEar Fitear,3.0,3.0,3.5,
FitEar MH334,4.5,4.5,4.5,
FitEar MH334SR,5.5,5.5,5.5,
FitEar MH335DW,4.0,4.0,5.0,
FitEar Monet 17,4.0,4.0,5.0,
FitEar Parterre,3.5,3.5,4.5,
FitEar Private 222,3.0,2.5,4.5,
FitEar Private 223,3.0,2.5,4.5,
FitEar Private 333,4.5,4.0,5.5,
FitEar Private C435,3.5,3.0,4.5,
FitEar TG334,4.5,4.5,4.5,
Flicker Ear Norma,2.5,3.5,2.5,
Flipears Aurora,3.5,3.5,4.5,
Focal Spark,1.0,2.0,1.5,1.5
Focal Sphear,3.5,4.0,3.5,
Fostex TE-02WP,3.0,3.5,3.0,
Fostex TE100,3.5,3.5,3.5,
Fostex TM2,4.0,4.0,4.0,
Future Sonics G10,2.0,2.0,2.0,
Future Sonics MG5HX,3.0,2.5,4.0,
GS Audio GD3C,3.0,3.0,3.0,3.0
GS Audio SE11,6.1,6.33,6.0,6.0
Gaudio Clariden,4.5,4.5,5.0,
Gaudio Nair,5.5,7.0,5.0,
Geek Wold 10 (blocked vent),3.0,3.0,3.0,3.0
Geek Wold GK3,0.5,0.5,1.5,
Gold Planar GL12,0.5,0.2,2.5,1.0
Gold Planar GL20,3.0,1.5,7.0,
Grado GR8,3.0,3.0,3.5,
Grado iGe,3.0,3.5,3.0,
Guide Ray GR-I,2.5,3.0,2.5,3.0
HUM Dolores,4.0,5.0,4.0,
HUM Pristine Reference,3.5,3.5,4.0,
HUM Reference,4.5,5.0,4.5,
HUM TT,3.0,4.0,3.0,
HYLA CE-5,5.5,5.5,6.5,
HYLA Nerva-X,4.0,4.5,4.0,
HYLA Sarda,5.5,5.5,6.5,
HYLA TE-5B,5.5,5.5,6.5,
HYLA TE-5T,5.0,4.5,6.5,
HZSound Heart Mirror,3.733,3.667,3.89,3.0
HZSound Heart Mirror Pro,4.5,5.5,4.5,
HarmonicDyne Devil,4.5,4.5,4.5,5.0
HarmonicDyne P.D.1,3.0,2.5,4.0,
HarmonicDyne PD1,0.0,0.1,0.5,0.1
Heartfield Acoustic Deer,3.0,3.5,3.0,
Heir Audio Tzar 350,3.0,3.0,3.5,
Heygears Anora,3.0,3.5,3.0,
HiBy Crystal6,2.5,2.5,3.5,
HiBy WH3,3.0,3.0,3.0,
HiFi Boy OS V3,2.5,2.5,2.5,
HiFiMAN Bolt,2.0,1.67,2.33,2.0
Hiby Crystal6,2.6,2.0,4.0,2.0
Hidition NT6,6.383,6.933,6.5,5.0
Hidition NT6 Pro,5.5,5.0,6.5,
Hidition NT8,6.0,6.0,6.5,
Hidition T1,5.0,5.5,6.5,5.5
Hidition Viento-B,7.14,8.168,6.625,7.8
Hidition Viento-R Univ,6.0,6.0,6.5,6.5
Hidition Violet,6.667,6.777,6.89,7.0
Hidition Waltz,6.0,6.777,5.557,6.0
Hidizs Mermaid MS4,3.0,3.0,3.5,
Hifiman Bolt,0.0,0.1,0.0,0.0
Hifiman RE1000,2.5,2.0,4.0,
Hifiman RE2000,3.5,3.0,4.5,
Hifiman RE2000 Pro,3.5,3.0,4.5,
Hifiman RE400,4.0,5.5,3.5,
Hifiman RE800,0.5,0.5,5.0,
Hifiman TWS600,0.5,0.5,3.0,
Horluchs HL4300,3.5,3.5,4.0,
Hyla Sarda,6.9,7.0,6.67,7.0
I-INTO i8,3.0,3.0,3.0,
IKKO OH10,5.0,,,3.5
IMR Aten,3.5,3.5,4.5,
IMR R1,3.0,2.5,4.0,
IMR R1 Zenith,3.0,3.0,3.5,
IMR R2 Aten,4.0,4.0,4.0,
IMR RAH,4.0,4.0,5.0,
IMR Semper,2.5,2.5,3.0,
IMR Zenith,4.0,4.5,4.0,
INAIR M360,3.5,4.5,3.0,
Ikko Gems OH1S,2.6,2.33,3.67,2.0
Ikko OH10,4.8,5.0,5.165,5.0
Ikko Opal OH2,3.7,4.085,4.085,3.75
InEar Prophile-8,5.5,6.5,5.0,
InEar SD5,6.0,6.0,6.0,
InEar StageDiver SD-2,4.5,4.5,4.5,
InEar StageDiver SD-3,2.5,2.5,3.5,
InEar StageDiver SD-4,3.0,3.0,4.0,
Intime Sora,4.3,5.333,3.89,4.0
Itsfit Fusion,3.5,3.5,4.5,
Itsfit R3,4.5,4.5,4.5,
JBL LIVE 300TWS,4.5,5.5,4.0,
JH Audio Angie,3.5,3.0,4.5,
JH Audio Diana,0.5,0.5,2.0,
JH Audio JH13v2 Performance Series,3.5,3.5,4.5,
JH Audio JH16v2,3.5,3.0,5.0,
JH Audio Jolene,2.5,1.5,4.5,
JH Audio Layla,3.5,3.0,4.5,
JH Audio Layla Aion,3.1,2.67,3.67,3.0
JH Audio Lola,3.0,2.0,5.0,
JH Audio Rosie,4.0,4.0,4.0,
JH Audio Roxanne 2,3.5,3.0,5.0,
JH Audio x L-Acoustics Contour XO,3.5,3.0,4.5,
JH Billie Jean,3.0,3.5,3.0,
JH Michelle,3.5,3.5,3.5,
JH Roxanne,3.5,2.5,5.5,
JQ Hua Jiang,5.5,5.5,5.5,
JVC FWX1,3.3,3.0,4.0,3.0
JVC FX7 Gumy,2.1,2.33,2.0,2.0
JVC HA-FD01,5.0,5.0,6.0,
JVC HA-FD02,5.0,5.0,6.0,
JVC HA-FW01,3.5,3.5,3.5,
JVC HA-FW02,4.0,4.0,4.0,
JVC HA-FW03,4.5,6.0,4.0,
JVC HA-FW10000,6.0,5.5,7.9,
JVC HA-FW1500,3.5,3.5,4.5,
JVC HA-FX99X-B,4.0,5.0,3.5,
Jabra Elite 75t,3.0,3.0,4.0,
Jabra Elite Active 65t,4.0,4.5,4.0,
Jade Audio EA3,3.0,2.5,4.0,
Jaybirds Vista,2.567,2.667,2.333,3.0
Jomo Audio Trinity Brass,5.9,5.67,6.0,6.0
Jomo Flamenco,5.5,4.5,7.0,
Jomo Haka,2.0,2.5,2.0,
Jomo Jazz,3.0,3.0,3.5,
Jomo PLB,2.0,2.5,2.0,
Jomo Quatre,4.0,4.0,5.0,
Jomo Salsa,3.0,3.0,3.5,
Jomo Samba,5.0,4.5,6.5,
Jomo Tango,4.5,3.5,6.0,
Jomo Trinity Brass,5.0,4.5,6.5,
Jomo Trinity SS,5.5,5.5,6.5,
Jomo x Pantheon Percussion P3,3.5,3.5,3.5,
KB Ear Hi 7,2.0,3.0,3.0,2.5
KBEar Aurora,3.5,4.5,3.5,
KBEar F1,3.5,4.5,3.0,
KBEar Neon,3.0,4.0,3.0,
KBEar TRI I3,4.0,4.0,4.0,
KBEar TRI I4,3.5,3.5,3.5,
KBear Neon,2.9,3.33,2.33,3.0
Kbear Diamond,4.1,4.33,4.0,4.0
Kennerton Jimo,2.5,2.5,3.0,
Kineara BD005 Pro,3.0,4.0,3.5,3.5
Kinera BD005,2.0,2.0,2.0,
Kinera BD005 Pro,3.0,3.5,3.0,
Kinera Celest Pandamon,5.0,,,4.5
Kinera Freya,3.0,3.0,3.0,3.0
Kinera H3,0.5,0.5,3.0,
Kinera Hodur,3.5,3.5,3.5,
Kinera IDUN,3.5,3.5,3.5,
Kinera IDUN Deluxe,3.5,3.5,3.5,
Kinera Idun (Deluxe),3.0,3.0,3.0,
Kinera Nanna,4.5,5.5,4.5,
Kinera Nanna 2,5.0,,,5.5
Kinera Nanna 2.0,5.133,5.333,5.11,5.0
Kinera Norn,3.133,3.11,3.667,3.0
Kinera Odin,3.5,4.0,3.5,
Kinera SEED,2.5,2.5,2.5,
Kinera SIF,3.0,3.0,3.5,
Kinera Skuld,4.5,4.5,4.5,
Kinera YH263,1.5,1.5,1.5,
Kinera iDun 2.0,3.5,4.0,3.67,3.0
Kiwi Ears Cadenza,3.5,5.0,3.5,4.0
Kiwi Ears Dolce,2.0,3.5,2.5,2.5
Kiwi Ears Orchestra,5.98,7.058,5.832,5.833
Kiwi Ears Orchestra Lite,4.5,6.0,5.0,5.0
Kiwiears Cadenza,5.0,,,5.0
Klipsch T5 True Wireless,3.5,3.5,4.0,
Kojo KJB-01 “Keyagu”,2.0,2.0,3.0,
Kumitate KL-Corona,5.0,6.5,4.0,
Kumitate KL-Focus,6.0,6.5,6.0,
Kumitate KL-Kanon,3.0,2.5,4.0,
Kumitate KL-Meteo,3.5,3.5,4.0,
Kumitate KL-REF Type S,5.0,5.0,5.0,
Kumitate KL-REF Type-S,4.0,3.5,5.5,
Kumitate KL-Sanka,3.5,3.5,4.0,
Kumitate KL-Sanka B,3.5,2.5,5.5,
Kumitate KL-Sanka K,3.5,2.5,5.5,
Kumitate KL-Sirius,6.0,6.5,6.0,
LEAR NatroSound NS-U1,0.5,0.5,0.5,
LETSHUOER Cadenza 12,6.2,6.0,6.67,6.0
LETSHUOER D13,4.2,4.33,4.33,4.0
LETSHUOER EJ07M,6.4,7.33,6.0,6.0
LETSHUOER S12,5.8,5.33,6.0,6.0
LETSHUOER x Gizaudio Galileo,4.7,5.0,4.0,5.0
LG Tone Free,3.5,3.5,3.5,
LH Stella,3.5,3.5,4.0,
LH Verb,2.0,2.0,3.0,
LZ A2 Pro,2.0,2.0,3.0,
LZ A4 Pro,2.333,2.167,3.333,2.5
LZ A7,3.0,3.0,4.5,3.5
Lark Studio LSX,3.5,3.0,5.0,
Lear LCM-BD4.2,3.5,2.5,5.5,
LetShuoer D13,4.0,5.0,4.5,4.5
LetShuoer EJ09,4.0,4.5,5.0,4.5
LetShuoer Galileo,5.0,6.0,4.5,5.5
LetShuoer S12,6.0,6.5,6.0,6.5
Letshouer S12 Pro,5.5,,,6.0
Letshuoer Cadenza 12,7.0,,,8.5
Letshuoer S12,5.5,,,6.0
Letshuore EJ07M Kinda Lava,6.5,,,8.0
Letshuore Z12,5.5,,,6.0
Libratone Track Air Plus,5.0,7.0,4.0,
Lime Ears Aether,4.5,5.5,4.5,
Lime Ears Aether R,4.0,3.5,5.0,
Lime Ears LE2,4.0,4.0,4.5,
Lime Ears Model X,6.0,6.0,6.0,
Lypertek Bevi,4.0,5.5,3.5,
Lypertek PurePlay Z3 2.0(PurePlay Z3)(Tevi),5.0,6.5,4.0,
Lypertek PurePlay Z7,3.0,3.0,4.0,
MEE Audio M6 Pro,0.1,0.5,0.2,0.2
MEE M6 Pro,3.5,3.5,3.5,
MEE Pinnacle P1,3.5,3.5,3.5,
MMR Homunculus,3.025,3.292,4.25,2.25
MMR Thummim,2.9,2.918,4.082,2.75
MUNITIO Billets,2.0,2.0,3.0,
MUNITIO Bullet In-Ear,2.5,3.0,2.5,
Madoo Type 711,2.0,2.5,2.0,
Mangird MT4,2.833,4.5,2.833,1.0
Mangird Tea,4.075,4.5,4.375,4.25
Mangird Xenns Top,6.8,6.33,6.0,7.5
Massdrop Plus,4.0,4.833,4.167,4.5
Massdrop x MEE Planamic,2.5,2.5,2.5,
Massdrop x Noble K10,6.0,6.0,6.0,
Massdrop x NuForce EDC3,3.5,3.5,3.5,
Master & Dynamic MW07,2.5,2.5,3.0,
Master & Dynamic MW07 Go,2.5,2.5,3.0,
Master & Dynamic MW07 Plus,2.5,2.5,3.0,
Meccaudio ME-04,3.0,3.0,3.0,
Meccaudio ME20,3.5,3.5,4.0,
Meze 12 Classics,3.5,3.5,3.5,
Meze Rai Penta,4.333,4.5,4.5,4.5
Meze Rai Solo,3.0,2.5,4.5,
MiM Dark Magician,5.4,5.89,5.333,5.0
Mofasest M14,5.5,5.5,5.5,
Monoprice Monolith M-TWE,3.5,4.0,3.5,
Moondrop A8,6.5,6.5,6.5,
Moondrop Alice (IE Target Preset),5.5,,,2.0
Moondrop Aria,5.14,6.168,4.875,5.0
Moondrop Aria Snow,4.8,5.33,4.67,4.5
Moondrop Aria Snow Edition,5.0,,,3.0
Moondrop B2,6.0,6.0,6.0,6.0
Moondrop Blessing,6.0,6.5,6.0,
Moondrop Blessing 2,6.125,6.833,6.5,5.75
Moondrop Blessing 2: Dusk,6.367,7.685,6.25,6.5
Moondrop Blessing 3,6.35,6.33,6.33,7.0
Moondrop Blessing OG,4.9,5.0,6.0,4.0
Moondrop Chu,4.6,6.125,4.0,4.333
Moondrop Crescent,5.0,6.5,4.0,
Moondrop Illumination,4.833,5.0,4.89,4.0
Moondrop Jiu (DSP),5.5,,,6.5
Moondrop KXXS,4.925,5.792,4.875,5.0
Moondrop KXXS / KXXX,5.0,,,4.5
Moondrop KXXX,5.2,5.67,5.0,5.0
Moondrop Kanas Pro,4.825,5.75,4.375,4.75
Moondrop Kato,5.575,6.333,5.443,5.75
Moondrop Nekocake,3.5,4.0,3.5,
Moondrop Quarks,3.367,3.667,3.443,3.0
Moondrop Quarks DSP,5.5,,,4.0
Moondrop S8,6.65,7.71,6.667,6.5
Moondrop SSP,3.667,3.557,4.443,4.0
Moondrop SSR,3.025,3.042,4.082,2.5
Moondrop Solis,5.133,6.223,4.89,5.0
Moondrop Spaceship,3.075,3.5,3.5,2.25
Moondrop Sparks,4.567,5.89,3.777,5.0
Moondrop Starfield,5.05,5.89,5.0,4.5
Moondrop Stellaris,4.6,4.33,5.67,4.0
Moondrop Variations,7.125,8.243,6.557,6.75
Muse HiFi Power,3.5,3.0,4.5,
NCM Bella,4.0,4.0,4.5,
NF Audio NA2+,3.5,3.0,4.67,3.0
NF Audio NF2u,3.5,3.5,3.5,
NF Audio NM2+,3.5,3.5,4.5,
NXEars Basso,2.0,2.0,2.5,
NXEars Opera,2.5,1.5,4.0,
NXEars Sonata,4.0,5.5,3.5,
Neusonik direm E3,4.0,5.0,3.5,
Neusonik direm PRO,4.0,4.0,4.0,
NiceHCK EP10,1.5,2.5,1.0,2.0
NiceHCK NX7 Mk3,4.0,4.0,4.5,
NiceHCK NX7 Pro,3.333,3.667,3.833,2.5
Nicehck TopGuy,2.9,2.67,3.0,3.0
Noble Audio K10 Encore,4.6,4.33,5.67,4.0
Noble Audio Sultan,3.6,4.0,4.0,3.0
Noble Audio X,2.2,2.67,2.0,2.0
Noble Django,3.0,3.0,3.0,
Noble Dulce Bass,3.0,3.0,4.0,
Noble Falcon,3.0,3.0,3.0,
Noble K10 Encore,6.0,6.0,6.0,
Noble Kadence,4.0,3.5,5.0,
Noble Katana,6.0,6.0,6.0,
Noble Khan,5.5,5.0,7.0,
Noble Kublai Khan,5.5,5.0,7.0,
Noble M3,2.5,2.5,3.5,
Noble Sage,3.5,4.5,3.5,
Noble Savanna,3.5,3.5,3.5,
Noble Savant 2,3.5,4.5,3.5,
Noble Sultan,3.167,3.167,4.167,2.5
Noble Trident,2.5,2.0,4.0,
Noble Tux 5,4.5,4.5,5.0,
Noble X,1.5,3.0,3.0,2.0
NocturnaL Atlantis,4.5,4.5,5.0,
NocturnaL Avalon,3.5,3.5,4.0,
NocturnaL Eden,3.5,3.5,4.0,
NocturnaL Gorham,3.5,4.0,3.5,
None,,,,
Nostalgia Benbulbin,4.5,6.0,4.0,
Nothing Ear 1,2.5,2.0,3.5,
Nothing Ear 2,3.667,4.333,3.333,2.0
NuForce HEM1,3.0,3.5,3.0,
NuForce Primo 8,2.0,2.5,2.0,
Nuarl NT01,3.5,3.5,3.5,
Nuarl NT100,3.5,4.0,3.5,
Nuarl NT110,3.5,4.0,3.5,
Nuforce HEM4,1.5,2.5,1.5,
Nuforce HEM6,1.5,2.5,1.5,
ORB CF-IEM Stella,3.0,3.0,3.5,
Ocharaku Co-Donguri Shizuku,2.5,2.5,3.5,
Ocharaku Co-Donguri Shizuku S2,2.5,2.5,3.0,
Ocharaku Donguri Keyaki,2.5,2.5,3.5,
Ocharaku Donguri Ti Plus,2.5,2.5,3.5,
Ocharaku Flat-4 Akakeyaki,1.5,1.5,2.0,
Ocharaku Flat-4 Akazakura,1.5,1.5,2.0,
Ocharaku Flat-4 Kaede Type 1,1.5,1.5,2.0,
Ocharaku Flat-4 Kaede Type 2,1.5,1.5,2.0,
Ocharaku Flat-4 Ti Plus,1.5,1.5,2.0,
Ola Bass,5.0,,,6.25
Onkyo E900,3.5,3.5,3.5,
Open Audio Mercury,4.0,4.5,4.0,
OpenAudio Mercury,5.2,5.33,5.33,5.0
Oppo MH130,0.0,0.0,0.0,
Origami Audio Silver,2.0,2.5,2.0,
Oriolus Finschi,3.5,4.5,3.5,
Oriolus Forsteni,3.5,3.5,4.5,
Oriolus Isabellae,5.0,5.5,5.0,
Oriolus Isabellae ,4.3,4.33,4.67,4.0
Oriolus MK2,5.5,5.5,5.5,
Oriolus Mellianus,5.0,4.5,6.5,
Oriolus Percivali,5.0,4.5,6.5,
Oriolus Traillii,7.0,7.0,7.0,7.0
Oriveti Basic,3.0,3.0,3.0,
Oriveti New Primacy,3.5,3.5,3.5,
Oriveti OH300,4.5,4.5,4.5,
Oriveti OH500,4.5,4.5,4.5,
Ovidius RX-100,4.5,4.5,4.5,5.0
PEARS SH2,4.5,4.5,5.0,
PEARS SH3,6.0,6.5,6.0,
Pai Audio DM2A,3.0,3.0,3.0,
Peacock Audio P1,3.5,3.5,3.5,
Peacock P1,3.0,3.5,3.0,3.5
Periodic Audio Be,3.667,3.777,4.223,3.0
Periodic Audio Mg,4.0,4.0,4.0,
Periodic Audio Ti,1.2,1.67,1.0,1.0
Phonak PFE,3.0,3.5,3.0,
Pioneer SE-CX9,3.0,3.5,3.0,
Prisma Azul,4.975,6.292,4.792,5.0
QCY T5,4.0,5.0,3.5,
QDC Gemini,8.0,,,10.0
QoA Adonis,4.0,5.0,4.0,
QoA Mojito,3.5,3.5,3.5,
QoA Pink Lady,3.5,3.5,4.0,
QoA Vesper,3.5,3.5,4.0,
Qudelix Qx-over,3.0,3.5,3.0,
RHA CL1,0.5,0.5,5.0,
RHA CL2,2.167,2.167,3.333,3.0
RHA CL750,1.5,1.5,2.5,
RHA MA750,3.5,3.5,3.5,
RHA T20i,3.5,3.5,3.5,
RHA TrueConnect,3.5,3.5,3.5,
Radius HP-TWF41,2.0,2.5,2.0,
Rapt-Go Bridge,1.5,3.5,2.5,2.0
Rapt-Go Leaf,2.5,3.0,3.0,3.0
Raptgo Hook X,5.8,5.67,5.67,6.0
Raptgo Hook-X,5.5,6.5,5.0,5.5
Raycon E25,1.5,1.5,2.5,
Razer Moray,3.0,3.5,3.0,
Rhapsodio Clipper,1.5,2.0,1.5,
Rhapsodio Galaxy,3.5,3.5,4.5,
Rhapsodio Infinity (Mk1),4.0,4.0,4.5,
Rhapsodio Infinity Mk2,3.5,4.0,3.5,
Rhapsodio Solar,4.5,4.5,4.5,
Rhapsodio Zombie,2.0,2.0,2.5,
Rhapsodio Zombie MK. II,2.0,2.0,2.0,2.0
Rose BR5 Mk2,3.5,3.5,3.5,
Rose Mini2,2.5,3.5,2.5,
SIA complimentary earphones,0.0,0.0,0.0,
Sabbat E12 Ultra TWS,2.0,3.5,2.5,2.5
Samsung AKG EO-IG955,3.5,4.5,3.5,
Samsung AKG Earbuds,2.5,4.5,3.0,3.0
Samsung Galaxy Buds,4.95,5.832,4.375,5.25
Samsung Galaxy Buds 2 Pro,6.0,,,6.5
Samsung Galaxy Buds Live,2.0,3.0,2.0,2.5
Samsung Galaxy Buds Pro,5.3,6.418,4.458,5.5
Samsung Galaxy Buds+,4.7,5.375,4.625,4.5
Samsung Galaxy Buds2 Pro,5.5,7.9,5.0,
Satolex Tubomi DH298-A1Bk,3.5,3.5,3.5,
Satolex Tubomi DH302-A1Bs,3.5,3.5,3.5,
Satolex Tubomi DH310-A1SS,3.5,3.5,3.5,
Satolex Tumuri DH303-A1,3.5,3.5,3.5,
Seahf AWK-009,1.5,1.5,1.5,
